Model,recall,precision,F1
XGBClassifier,0.987451893234016,0.9807421199484325,0.9840347708802135
RandomForestClassifier,0.9824270639354438,0.9790556863330042,0.9806540559259128
LinearSVC,0.9060086902545003,0.8844749431013176,0.8949648355623181
LogisticRegression,0.9035024829298572,0.8870950729380851,0.8950809672605755
